DATE,TempAvg,TempMax,TempMin,SLP,Humidity,Precipitation,Visibility,WindSpeed,WindSpeedMax,ForestFire,Latitude,Longitude,Altitude,Place
01-01-2015,12.9,23.1,7.4,1018.2,68,0,3.5,0.4,3.5,No,30.31,78.03,682,Dehradun
02-01-2015,11.7,23.1,9.6,1019.1,92,0,1.4,0.4,3.5,No,30.31,78.03,682,Dehradun
03-01-2015,13.1,15.8,10.5,1017.3,92,8.89,2.4,0,3.5,No,30.31,78.03,682,Dehradun
04-01-2015,13.2,20.8,10.4,1017.5,88,8.89,3.1,1.3,3.5,No,30.31,78.03,682,Dehradun
05-01-2015,11.6,20.8,8,1013.6,82,0,3.1,1.5,3.5,No,30.31,78.03,682,Dehradun
06-01-2015,8.5,19.4,6.4,1015.5,94,0,1.4,1.1,3.5,No,30.31,78.03,682,Dehradun
07-01-2015,11.1,19.2,5.5,1014.9,81,0,2.3,1.3,3.5,No,30.31,78.03,682,Dehradun
08-01-2015,11.3,21.2,5.6,1017.9,82,0,3.1,0.9,3.5,No,30.31,78.03,682,Dehradun
09-01-2015,11.1,21.5,5.5,1018.7,77,0,3.5,1.1,3.5,No,30.31,78.03,682,Dehradun
10-01-2015,9.4,21.5,4.4,1017.7,89,0,1.9,1.3,3.5,No,30.31,78.03,682,Dehradun
11-01-2015,10.2,18,7,1017.8,88,0,1.4,0.9,3.5,No,30.31,78.03,682,Dehradun
12-01-2015,11.2,21.8,6.5,1018.7,76,0,2.9,0.9,3.5,No,30.31,78.03,682,Dehradun
13-01-2015,13.3,22.2,6.5,1016.6,66,0,3.5,1.1,3.5,No,30.31,78.03,682,Dehradun
14-01-2015,11.6,22.2,9.8,1017.9,83,0.25,3.2,2,7.6,No,30.31,78.03,682,Dehradun
15-01-2015,11.7,21.7,5.7,1018.9,70,4.06,5.5,0.4,3.5,No,30.31,78.03,682,Dehradun
16-01-2015,12.4,22.5,6.1,1018.5,70,0,5.5,0.9,3.5,No,30.31,78.03,682,Dehradun
17-01-2015,11.7,22.5,5.9,1018.4,74,0,3.2,0.4,3.5,No,30.31,78.03,682,Dehradun
18-01-2015,10.8,22.1,5.1,1017.8,76,0,2.4,1.5,3.5,No,30.31,78.03,682,Dehradun
19-01-2015,10.4,21.9,4.7,1018.3,83,0,1.4,1.3,3.5,No,30.31,78.03,682,Dehradun
20-01-2015,11.4,21.3,6.9,1019.5,80,0,1.4,2,3.5,No,30.31,78.03,682,Dehradun
21-01-2015,12.1,21,5.7,1020.7,79,0,2.7,0.2,1.9,No,30.31,78.03,682,Dehradun
22-01-2015,12,17.7,11,1019.8,85,0.51,3.1,0.9,3.5,No,30.31,78.03,682,Dehradun
23-01-2015,12.2,19.7,7.6,1019,81,0.51,3.7,1.1,5.4,No,30.31,78.03,682,Dehradun
24-01-2015,12.3,23.2,6.1,1018.9,76,0.25,3.5,1.1,5.4,No,30.31,78.03,682,Dehradun
25-01-2015,11.8,23.2,7.1,1019.4,82,0,2.9,1.3,3.5,No,30.31,78.03,682,Dehradun
26-01-2015,11.9,20.2,7.7,1019.4,88,4.06,3.5,1.1,3.5,No,30.31,78.03,682,Dehradun
27-01-2015,13.1,19.4,9.2,1017.9,81,4.06,2.7,1.9,3.5,No,30.31,78.03,682,Dehradun
28-01-2015,11.8,19.4,7.2,1016.3,84,0,2.3,1.1,3.5,No,30.31,78.03,682,Dehradun
29-01-2015,10.6,19.4,6.2,1018.1,79,0,2.3,2,5.4,No,30.31,78.03,682,Dehradun
30-01-2015,10.1,19.9,4.1,1018.6,68,0,4,1.9,5.4,No,30.31,78.03,682,Dehradun
31-01-2015,11.4,20.9,4.6,1016.7,70,0,3.1,1.5,5.4,No,30.31,78.03,682,Dehradun
01-02-2015,12.2,20.9,6.6,1018.3,79,0,1.9,1.3,3.5,No,30.31,78.03,682,Dehradun
02-02-2015,15.3,22.7,11,1018.4,72,0,1.9,1.9,3.5,No,30.31,78.03,682,Dehradun
03-02-2015,13.9,22.7,10.4,1020.7,89,5.08,2.7,0.7,3.5,No,30.31,78.03,682,Dehradun
04-02-2015,13.9,22.4,7.9,1020.5,74,2.03,3.2,3,7.6,No,30.31,78.03,682,Dehradun
05-02-2015,13.3,23.8,6.4,1017.5,76,0,2.6,0.7,3.5,No,30.31,78.03,682,Dehradun
06-02-2015,13.1,23.8,8.1,1018.5,73,0,2.7,1.5,3.5,No,30.31,78.03,682,Dehradun
07-02-2015,12.5,23.8,5.6,1017.5,68,0,4,0.7,3.5,No,30.31,78.03,682,Dehradun
08-02-2015,14.7,23.8,8.4,1017.1,58,0,4,1.1,3.5,No,30.31,78.03,682,Dehradun
09-02-2015,14.3,23.8,8,1018.9,64,0,4,0.4,3.5,No,30.31,78.03,682,Dehradun
10-02-2015,14.3,23.9,7.8,1018.3,65,0,3.5,0.4,3.5,No,30.31,78.03,682,Dehradun
11-02-2015,13.3,23.9,8.2,1016.8,77,0,2.3,0.4,3.5,No,30.31,78.03,682,Dehradun
12-02-2015,14.1,21.9,7.8,1014.7,71,0,1.9,1.9,3.5,No,30.31,78.03,682,Dehradun
13-02-2015,14.8,23.5,8,1011.5,72,0,1.9,0.7,3.5,No,30.31,78.03,682,Dehradun
14-02-2015,15.8,23.9,8.9,1010.3,70,0,1.9,0.9,3.5,No,30.31,78.03,682,Dehradun
15-02-2015,16.3,23.9,11.9,1013.6,78,0,1.8,0.9,3.5,No,30.31,78.03,682,Dehradun
16-02-2015,16.6,22.5,12.3,1015.5,77,0,1.9,0.4,1.9,No,30.31,78.03,682,Dehradun
17-02-2015,17.8,25.2,12.1,1012.3,67,0,2.3,1.1,3.5,No,30.31,78.03,682,Dehradun
18-02-2015,17.7,25.2,12.5,1012.3,68,0,2.4,1.5,3.5,No,30.31,78.03,682,Dehradun
19-02-2015,18.3,25.7,11.4,1013.1,58,0,2.3,0.7,3.5,No,30.31,78.03,682,Dehradun
20-02-2015,17.1,25.7,11.8,1015.5,66,1.02,3.2,3.7,7.6,No,30.31,78.03,682,Dehradun
21-02-2015,17.4,26.3,10.4,1012.9,67,7.11,3.7,1.3,3.5,No,30.31,78.03,682,Dehradun
22-02-2015,19.3,28.1,11.6,1011.9,64,0,3.4,1.1,3.5,No,30.31,78.03,682,Dehradun
23-02-2015,19.8,28.1,14.1,1013.9,72,0,2.7,1.3,3.5,No,30.31,78.03,682,Dehradun
24-02-2015,19.7,27.4,15.1,1011.4,71,0,2.3,2,3.5,No,30.31,78.03,682,Dehradun
25-02-2015,16.7,24.5,13.8,1011.3,78,1.02,2.3,2,5.4,No,30.31,78.03,682,Dehradun
26-02-2015,15.9,23.2,12.2,1010.1,81,4.06,2.9,2.2,3.5,No,30.31,78.03,682,Dehradun
27-02-2015,16,23.7,11.1,1013.1,67,2.03,3.5,3,5.4,No,30.31,78.03,682,Dehradun
28-02-2015,17.3,24.4,10.1,1013.5,60,1.02,3.2,0.9,3.5,No,30.31,78.03,682,Dehradun
01-03-2015,13.9,24.4,12.8,1012.8,89,0.51,2.6,0.6,3.5,No,30.31,78.03,682,Dehradun
02-03-2015,11.9,14.8,9.4,1014.1,97,71.88,2.6,0.9,3.5,No,30.31,78.03,682,Dehradun
03-03-2015,12.7,20.4,8.7,1013.7,82,71.12,3.7,1.3,3.5,No,30.31,78.03,682,Dehradun
04-03-2015,13.8,22.2,7.4,1013,71,2.03,4,2,5.4,No,30.31,78.03,682,Dehradun
05-03-2015,15.7,23.8,8.2,1015.2,61,0,4,1.3,3.5,No,30.31,78.03,682,Dehradun
06-03-2015,16.5,24.1,11.4,1015.4,62,0.25,4,2.4,5.4,No,30.31,78.03,682,Dehradun
07-03-2015,16.9,26,8.8,1014.1,56,0,3.7,2.4,7.6,No,30.31,78.03,682,Dehradun
08-03-2015,13.7,26,11.2,1016.8,77,2.03,3.7,2.4,5.4,No,30.31,78.03,682,Dehradun
09-03-2015,15.6,23.6,10.2,1019.7,67,7.11,3.2,1.9,3.5,No,30.31,78.03,682,Dehradun
10-03-2015,17.3,26.8,8.6,1017.4,61,0,4,1.3,3.5,No,30.31,78.03,682,Dehradun
11-03-2015,18,27.4,9.7,1017.1,59,0,4,1.1,3.5,No,30.31,78.03,682,Dehradun
12-03-2015,18.6,27.6,11.6,1016,55,0,4,2.2,5.4,No,30.31,78.03,682,Dehradun
13-03-2015,18.8,27.6,11.4,1014.3,53,0,4,1.5,3.5,No,30.31,78.03,682,Dehradun
14-03-2015,19.8,27.3,10.2,1015.4,62,0,2.9,1.1,3.5,No,30.31,78.03,682,Dehradun
15-03-2015,16.8,27.3,14.9,1016,87,8.89,2.6,1.3,3.5,No,30.31,78.03,682,Dehradun
16-03-2015,18.8,25.7,8.5,1017.2,65,2.03,4,3,5.4,No,30.31,78.03,682,Dehradun
17-03-2015,17.8,26.1,11.2,1014.4,66,0,4.8,2,5.4,No,30.31,78.03,682,Dehradun
18-03-2015,17.8,26.1,10,1011.5,68,0,3.5,1.5,5.4,No,30.31,78.03,682,Dehradun
19-03-2015,18.9,26.4,11.7,1013.4,69,0,3.1,1.1,3.5,No,30.31,78.03,682,Dehradun
20-03-2015,20.6,28.8,14,1013.5,66,0,3.7,2.2,3.5,No,30.31,78.03,682,Dehradun
21-03-2015,21.2,28.8,15,1013.8,63,0,3.7,1.9,3.5,No,30.31,78.03,682,Dehradun
22-03-2015,21.7,29.4,15,1010.5,64,0,3.5,2.2,5.4,No,30.31,78.03,682,Dehradun
23-03-2015,22.7,30.4,15.4,1008.7,64,0,3.7,1.3,3.5,No,30.31,78.03,682,Dehradun
24-03-2015,23.7,31.5,16.6,1009.6,63,0,3.1,1.5,3.5,No,30.31,78.03,682,Dehradun
25-03-2015,24.9,31.7,18.7,1011.7,62,0,1.9,1.3,3.5,No,30.31,78.03,682,Dehradun
26-03-2015,25.5,32.7,18.6,1012.7,61,0,1.9,1.5,3.5,No,30.31,78.03,682,Dehradun
27-03-2015,24.4,32.7,18.5,1011.2,58,0,1.9,1.1,3.5,No,30.31,78.03,682,Dehradun
28-03-2015,24.7,32.6,17,1009.1,56,0,1.9,2,5.4,No,30.31,78.03,682,Dehradun
29-03-2015,20.3,32.6,17.1,1010.6,73,0,3.5,3.3,5.4,No,30.31,78.03,682,Dehradun
30-03-2015,18.4,26.8,14.9,1011.5,79,14.99,2.7,1.3,3.5,No,30.31,78.03,682,Dehradun
31-03-2015,20.8,27.1,14.5,1010.8,65,1.02,3.7,1.9,3.5,No,30.31,78.03,682,Dehradun
01-04-2015,21.8,28.7,15.2,1008.1,56,0,3.5,2.8,5.4,No,30.31,78.03,682,Dehradun
02-04-2015,23.6,30.4,15.7,1005.3,59,5.08,2.7,0.4,1.9,No,30.31,78.03,682,Dehradun
03-04-2015,21.2,30.4,17.5,1004.8,71,2.03,3.7,1.1,3.5,No,30.31,78.03,682,Dehradun
04-04-2015,17.5,27.7,14.4,1005.9,87,23.88,3.2,2.2,7.6,No,30.31,78.03,682,Dehradun
05-04-2015,20.1,27.9,13.4,1007.7,69,3.05,3.7,2,5.4,No,30.31,78.03,682,Dehradun
06-04-2015,21,28.5,14.2,1007.4,61,0,3.7,1.9,3.5,No,30.31,78.03,682,Dehradun
07-04-2015,16.3,28.5,13.4,1012.2,80,3.05,3.1,3,9.4,No,30.31,78.03,682,Dehradun
08-04-2015,19.7,28.8,12.8,1012.3,62,0.51,4,1.5,5.4,No,30.31,78.03,682,Dehradun
09-04-2015,21.1,29.5,12.3,1009.7,59,0,4,1.3,3.5,No,30.31,78.03,682,Dehradun
10-04-2015,23,30.9,13.9,1008,49,0,4,1.9,5.4,No,30.31,78.03,682,Dehradun
11-04-2015,24.6,32.5,16.3,1008.2,43,0,4,1.9,3.5,No,30.31,78.03,682,Dehradun
12-04-2015,22.7,32.5,18.1,1012.6,59,0,2.3,1.3,3.5,No,30.31,78.03,682,Dehradun
13-04-2015,22.7,28.8,18,1014.9,62,0,3.1,1.3,3.5,No,30.31,78.03,682,Dehradun
14-04-2015,21.9,29.1,17.9,1013.3,75,0,3.1,1.9,3.5,No,30.31,78.03,682,Dehradun
15-04-2015,21.7,30.4,17.1,1014,75,10.92,3.7,0.6,3.5,No,30.31,78.03,682,Dehradun
16-04-2015,20.4,30.4,16.9,1013.8,79,7.87,3.7,1.9,3.5,No,30.31,78.03,682,Dehradun
17-04-2015,23.4,31.2,15.4,1006.9,59,1.02,4,1.1,3.5,No,30.31,78.03,682,Dehradun
18-04-2015,25.4,32.1,16.8,1001.7,53,0,2.7,0.9,3.5,No,30.31,78.03,682,Dehradun
19-04-2015,26.5,33.9,17.7,1003.9,51,0,3.1,2,3.5,No,30.31,78.03,682,Dehradun
20-04-2015,27,33.9,21.1,1007.3,58,1.02,2.3,2.2,7.6,No,30.31,78.03,682,Dehradun
21-04-2015,26.3,34.4,19,1005,48,0,2.6,1.3,3.5,No,30.31,78.03,682,Dehradun
22-04-2015,25.5,34.4,16.6,1003,44,0,2.3,2,7.6,No,30.31,78.03,682,Dehradun
23-04-2015,26.8,34.2,17.6,1003.6,40,0,3.1,1.9,5.4,No,30.31,78.03,682,Dehradun
24-04-2015,26.7,34.2,17.6,1004.9,52,0,2.7,1.9,3.5,No,30.31,78.03,682,Dehradun
25-04-2015,24.6,34.1,18.3,1007,57,0,3.1,0.9,3.5,No,30.31,78.03,682,Dehradun
26-04-2015,24.2,32.4,18.9,1009.4,63,1.02,3.5,1.5,3.5,No,30.31,78.03,682,Dehradun
27-04-2015,25.7,31,19.6,1008,56,0,2.3,3,5.4,No,30.31,78.03,682,Dehradun
28-04-2015,24.3,31.4,17.9,1005.8,56,0,2.7,1.5,5.4,No,30.31,78.03,682,Dehradun
29-04-2015,24.4,31.4,16.3,1005.9,63,0,2.3,1.5,5.4,No,30.31,78.03,682,Dehradun
30-04-2015,26.4,33.2,19.2,1006.3,54,0,1.9,1.3,3.5,No,30.31,78.03,682,Dehradun
01-05-2015,25.2,33.2,17.4,1006.2,53,7.87,3.5,1.9,3.5,No,30.31,78.03,682,Dehradun
02-05-2015,25.8,32.5,18.5,1006.3,44,0,3.2,1.9,3.5,No,30.31,78.03,682,Dehradun
03-05-2015,25.5,33.2,16.3,1007.3,39,0,4,1.9,3.5,No,30.31,78.03,682,Dehradun
04-05-2015,27.2,34.3,17,1006.5,36,0,4,2.2,3.5,No,30.31,78.03,682,Dehradun
05-05-2015,28.2,35.2,18.1,1003.7,42,0,3.5,1.3,3.5,No,30.31,78.03,682,Dehradun
06-05-2015,29.1,35.9,20.8,1002.1,43,0,2.3,1.9,5.4,No,30.31,78.03,682,Dehradun
07-05-2015,29.4,36.3,22.3,1003,42,0,2.3,0.7,3.5,No,30.31,78.03,682,Dehradun
08-05-2015,29.9,37.2,22.5,1002.8,39,0,2.1,1.3,5.4,No,30.31,78.03,682,Dehradun
09-05-2015,30.6,37.2,22.6,1002,39,0,2.6,2,3.5,No,30.31,78.03,682,Dehradun
10-05-2015,30.9,37.9,24.1,1001.5,40,0,2.3,4.1,5.4,No,30.31,78.03,682,Dehradun
11-05-2015,28.9,37.9,23.3,1003.6,53,0,9.3,5,9.4,No,30.31,78.03,682,Dehradun
12-05-2015,24.7,37.2,20.9,1006.1,67,3.05,3.1,2.2,7.6,No,30.31,78.03,682,Dehradun
13-05-2015,24.8,35.4,19.9,1006.2,63,0,2.7,1.9,3.5,No,30.31,78.03,682,Dehradun
14-05-2015,26.3,35.4,20.1,1006.8,56,0,3.1,1.1,3.5,No,30.31,78.03,682,Dehradun
15-05-2015,26.9,33.7,21,1005.4,50,0,3.7,2.2,5.4,No,30.31,78.03,682,Dehradun
16-05-2015,27.6,34.2,18.5,1003.5,47,0,3.7,1.9,3.5,No,30.31,78.03,682,Dehradun
17-05-2015,28.7,34.3,22.6,1001.5,50,0,2.3,0.7,3.5,No,30.31,78.03,682,Dehradun
18-05-2015,29.7,36.5,22.8,1001.1,53,0,2.6,0.9,3.5,No,30.31,78.03,682,Dehradun
19-05-2015,28.7,36.5,21.4,1001.6,55,0,2.6,1.9,3.5,No,30.31,78.03,682,Dehradun
20-05-2015,29,37.2,21.1,1000.5,42,0,2.7,2.2,3.5,No,30.31,78.03,682,Dehradun
21-05-2015,31.2,39.7,21.1,999.1,26,0,3.7,3.7,9.4,No,30.31,78.03,682,Dehradun
22-05-2015,30.3,39.7,20.7,998.2,32,0,3.4,3.9,7.6,No,30.31,78.03,682,Dehradun
23-05-2015,31.9,40.1,22.2,996.7,29,0,3.5,3,5.4,No,30.31,78.03,682,Dehradun
24-05-2015,32,40.1,25.1,997.5,34,0,3.2,3.7,9.4,No,30.31,78.03,682,Dehradun
25-05-2015,32.3,39.8,24.1,997.1,35,0,1.9,2,5.4,No,30.31,78.03,682,Dehradun
26-05-2015,31.9,39.8,25.4,999.6,37,0,1.9,2.8,5.4,No,30.31,78.03,682,Dehradun
27-05-2015,30.4,38.9,23.1,1000.8,40,0,1.9,2.4,3.5,No,30.31,78.03,682,Dehradun
