Date,Day,Month,Year,TempAvg,TempMax,TempMin,SLP,Humidity,Precipitation,Visibility,WindSpeed,WindSpeedMax,ForestFire,Latitude,Longitude,Altitude,Place
01-12-2015,1,December,2015,17.2,24.5,10.3,1014.3,77,0,2.9,1.7,9.4,No,24.66,93.9,780,Imphal
02-12-2015,2,December,2015,15.9,21.4,10.3,1015.6,85,0,1.6,0,-,No,24.66,93.9,780,Imphal
03-12-2015,3,December,2015,16.4,22,12.3,1014.9,87,0,1.6,1.5,11.1,No,24.66,93.9,780,Imphal
04-12-2015,4,December,2015,16.3,23.6,11.2,1015.9,77,0.25,2.9,5.4,14.8,No,24.66,93.9,780,Imphal
05-12-2015,5,December,2015,14.8,23.5,8.5,1017.1,80,0,2.1,0.9,3.5,No,24.66,93.9,780,Imphal
06-12-2015,6,December,2015,13.9,23,7,1017.6,79,0,2.6,3.5,14.8,No,24.66,93.9,780,Imphal
07-12-2015,7,December,2015,15.5,24.5,7.5,1016.4,72,0,3.1,3.9,14.8,No,24.66,93.9,780,Imphal
08-12-2015,8,December,2015,16,23,8.2,1016,74,0,2.4,2.2,9.4,No,24.66,93.9,780,Imphal
09-12-2015,9,December,2015,15.8,22.4,7.8,1016.6,75,0,2.6,3.1,11.1,No,24.66,93.9,780,Imphal
10-12-2015,10,December,2015,15.2,22,9.2,1014.8,80,0,2.1,2,11.1,No,24.66,93.9,780,Imphal
11-12-2015,11,December,2015,14.9,21.8,7.6,1013.8,83,0,1.8,3,11.1,No,24.66,93.9,780,Imphal
12-12-2015,12,December,2015,16.6,23.3,7.4,1013.5,74,0,2.7,3.9,13,No,24.66,93.9,780,Imphal
13-12-2015,13,December,2015,15.3,20.3,10.7,1015.3,81,0,1.8,0.7,5.4,No,24.66,93.9,780,Imphal
14-12-2015,14,December,2015,15.8,22.5,9.3,1015,75,0,2.4,3.9,16.5,No,24.66,93.9,780,Imphal
15-12-2015,15,December,2015,15.7,23,8.6,1015,73,0,2.3,4.8,16.5,No,24.66,93.9,780,Imphal
16-12-2015,16,December,2015,14,22.3,6.3,1015.8,68,0,2.4,1.9,5.4,No,24.66,93.9,780,Imphal
17-12-2015,17,December,2015,14.6,22.5,6.3,1014.6,66,0,2.9,1.7,7.6,No,24.66,93.9,780,Imphal
18-12-2015,18,December,2015,12.8,20,4.8,1016.5,74,0,2.7,4.1,14.8,No,24.66,93.9,780,Imphal
19-12-2015,19,December,2015,13.6,21.7,4.8,1019.2,68,0,2.9,3.1,11.1,No,24.66,93.9,780,Imphal
20-12-2015,20,December,2015,13.6,21.7,3.5,1017.4,68,0,2.7,2.6,11.1,No,24.66,93.9,780,Imphal
21-12-2015,21,December,2015,13.3,21.5,5.3,1018.3,69,0,2.9,2.2,9.4,No,24.66,93.9,780,Imphal
22-12-2015,22,December,2015,13.4,21,4.4,1020.5,66,0,2.9,1.7,9.4,No,24.66,93.9,780,Imphal
23-12-2015,23,December,2015,12.9,21,1.8,1018.9,70,0,2.3,0.4,5.4,No,24.66,93.9,780,Imphal
24-12-2015,24,December,2015,13.2,22.2,2.8,1018.3,66,0,2.7,3,9.4,No,24.66,93.9,780,Imphal
25-12-2015,25,December,2015,11.6,19.2,3.1,1019.9,77,0,2.4,1.1,5.4,No,24.66,93.9,780,Imphal
26-12-2015,26,December,2015,12.8,28,2,1018.8,66,0,2.3,1.7,9.4,No,24.66,93.9,780,Imphal
27-12-2015,27,December,2015,13.4,23.5,3.7,1020.1,66,0,2.9,2,13,No,24.66,93.9,780,Imphal
28-12-2015,28,December,2015,13.4,23.2,3.9,1019.8,67,0,2.9,1.1,7.6,No,24.66,93.9,780,Imphal
29-12-2015,29,December,2015,13.8,23.4,4.9,1017,68,0,2.4,2.4,7.6,No,24.66,93.9,780,Imphal
30-12-2015,30,December,2015,14.4,23.4,5,1017.7,70,0,2.7,3.9,11.1,No,24.66,93.9,780,Imphal
31-12-2015,31,December,2015,-,-,-,-,-,-,-,-,-,No,24.66,93.9,780,Imphal
01-01-2015,1,January,2015,17.6,24.6,13.8,1016.2,79,0,2.6,0.4,3.5,No,24.66,93.9,780,Imphal
02-01-2015,2,January,2015,19.4,28.2,13,1015.8,73,0,3.5,3.1,9.4,No,24.66,93.9,780,Imphal
03-01-2015,3,January,2015,20.2,29,13,1014.2,72,0,3.5,3.9,11.1,No,24.66,93.9,780,Imphal
04-01-2015,4,January,2015,19.2,27.4,14.4,1011.3,78,-,3.1,2.6,11.1,No,24.66,93.9,780,Imphal
05-01-2015,5,January,2015,15.2,23,9.3,1012,81,0,3.1,5.9,16.5,No,24.66,93.9,780,Imphal
06-01-2015,6,January,2015,15.2,24,7.6,1012.2,69,0,3.5,2.6,7.6,No,24.66,93.9,780,Imphal
07-01-2015,7,January,2015,16.2,25.5,6.8,1013.5,65,0,3.1,3.3,11.1,No,24.66,93.9,780,Imphal
08-01-2015,8,January,2015,17.8,27.2,10.6,1012.8,66,0,3.2,3,9.4,No,24.66,93.9,780,Imphal
09-01-2015,9,January,2015,12.7,14.6,11.6,1014,93,3.05,2.7,2.8,9.4,No,24.66,93.9,780,Imphal
10-01-2015,10,January,2015,13.6,22.6,8.5,1014.7,81,0,2.4,2.4,7.6,No,24.66,93.9,780,Imphal
11-01-2015,11,January,2015,13,23.3,6,-,76,0,2.6,2.6,9.4,No,24.66,93.9,780,Imphal
12-01-2015,12,January,2015,14.2,24.6,6.4,1017.9,69,0,2.9,2.8,7.6,No,24.66,93.9,780,Imphal
13-01-2015,13,January,2015,14.8,24.2,5.8,1017.5,66,0,2.7,2,9.4,No,24.66,93.9,780,Imphal
14-01-2015,14,January,2015,15.3,23.2,9.6,1017.2,73,0,3.4,1.1,5.4,No,24.66,93.9,780,Imphal
15-01-2015,15,January,2015,16.5,26.1,8.2,1016.7,70,0,3.1,1.7,9.4,No,24.66,93.9,780,Imphal
16-01-2015,16,January,2015,17.7,25.1,9,1016.2,67,0,3.5,4.3,9.4,No,24.66,93.9,780,Imphal
17-01-2015,17,January,2015,16.8,26.3,10.5,1014.2,68,0,2.6,3.7,9.4,No,24.66,93.9,780,Imphal
18-01-2015,18,January,2015,13.6,21.4,8.3,1015,84,0,3.4,1.3,5.4,No,24.66,93.9,780,Imphal
19-01-2015,19,January,2015,13.7,23.2,7.6,1015.6,78,0,2.7,1.9,7.6,No,24.66,93.9,780,Imphal
20-01-2015,20,January,2015,13.7,25.2,6.4,1018.5,74,0,2.6,3.1,11.1,No,24.66,93.9,780,Imphal
21-01-2015,21,January,2015,15.5,25.8,7.4,1020.5,68,0,3.1,1.5,7.6,No,24.66,93.9,780,Imphal
22-01-2015,22,January,2015,15.2,25.4,7.4,1017.8,65,0,3.5,1.7,7.6,No,24.66,93.9,780,Imphal
23-01-2015,23,January,2015,15.6,25.8,7.8,1014.6,67,0,2.4,2.8,7.6,No,24.66,93.9,780,Imphal
24-01-2015,24,January,2015,15.4,25.2,9.2,1016.6,66,0,3.1,5.2,20.6,No,24.66,93.9,780,Imphal
25-01-2015,25,January,2015,15.1,25.2,7.8,1018,62,0,2.9,3.1,9.4,No,24.66,93.9,780,Imphal
26-01-2015,26,January,2015,16.2,25.5,5.4,1017.3,62,0,3.5,2.6,11.1,No,24.66,93.9,780,Imphal
27-01-2015,27,January,2015,15.2,25.8,6.2,1015.6,63,0,3.1,3.9,11.1,No,24.66,93.9,780,Imphal
28-01-2015,28,January,2015,15.5,26.8,7.2,1014.3,60,0,3.2,4.8,14.8,No,24.66,93.9,780,Imphal
29-01-2015,29,January,2015,17.7,26.8,7.8,1015,57,0,3.2,4.4,16.5,No,24.66,93.9,780,Imphal
30-01-2015,30,January,2015,16,25.6,9.4,1015,69,0,3.2,3,9.4,No,24.66,93.9,780,Imphal
31-01-2015,31,January,2015,14.2,23.8,6.9,1016.7,56,0,3.1,6.7,14.8,No,24.66,93.9,780,Imphal
01-02-2015,1,February,2015,13.8,25.8,3.6,1016.8,52,0,3.5,3.7,9.4,No,24.66,93.9,780,Imphal
02-02-2015,2,February,2015,15.1,26.7,4.4,1018.7,62,0,3.1,1.5,5.4,No,24.66,93.9,780,Imphal
03-02-2015,3,February,2015,16.2,26.9,7.6,1019.7,62,0,3.1,3.7,9.4,No,24.66,93.9,780,Imphal
04-02-2015,4,February,2015,16.8,26.5,6,1017.8,53,0,3.4,5.6,11.1,No,24.66,93.9,780,Imphal
05-02-2015,5,February,2015,15.4,25.9,7.8,1017.3,55,0,3.2,5.6,18.3,No,24.66,93.9,780,Imphal
06-02-2015,6,February,2015,14.7,25.2,6.2,1017,63,0,3.1,2.6,13,No,24.66,93.9,780,Imphal
07-02-2015,7,February,2015,14.8,25.5,5.8,1015.6,59,0,3.5,3.9,11.1,No,24.66,93.9,780,Imphal
08-02-2015,8,February,2015,15.3,25.9,4.8,1017,56,0,3.2,2.8,5.4,No,24.66,93.9,780,Imphal
09-02-2015,9,February,2015,15.9,26.2,7,1016.8,57,0,3.2,4.4,18.3,No,24.66,93.9,780,Imphal
10-02-2015,10,February,2015,16.1,26,8.8,1016.8,58,0,3.1,5.4,14.8,No,24.66,93.9,780,Imphal
11-02-2015,11,February,2015,14.6,23.3,8.4,1015.6,65,0,3.5,4.8,7.6,No,24.66,93.9,780,Imphal
