Fire Number,Incident Name,Fire Start Date,Initial Report Date,Fire Out Date,Region,Zone,County,Municipality,Cause,NFFL Fuel Model,Complex Type,Acreage,Latitude,Longitude,Ownership,State Land Unit Name,Total,Fatalities,Injuries,Homes Lost,Homes Threatened,Other Structures Lost,Other Structures Threatened,Reporting Ranger,Fire Report Method,Railroad Name,Location 1
NYS-2008-0001,OBPP Powerline Surge ,2008-01-21T00:00:00,2008-01-21T00:00:00,2008-01-21T00:00:00,1,1A,SUFFOLK,BABYLON,Equipment, 8 - Timber - Light Hardwood Litter,5,0.2,40.7851,-73.29247,State Forest/RF Area,Oak Brush Plains Preserve,0,0,0,0,0,0,0,"Byrnes,Timothy ",Fire Department,,"{'longitude': '-73.29247', 'needs_recoding': False, 'latitude': '40.7851'}"
NYS-2008-0002,Otis Pike @ Dog Pond Line Rd,2008-03-18T00:00:00,2008-03-18T00:00:00,2008-03-18T00:00:00,1,1A,SUFFOLK,RIVERHEAD,Prescribed Fire, 1 - Grass - Light,5,10.9,40.902,-72.802,Wildlife Management Area,Peconic River HWNRMA,0,0,0,0,0,0,0,"Byrnes,Timothy ",Supervisor,,"{'longitude': '-72.802', 'needs_recoding': False, 'latitude': '40.902'}"
NYS-2008-0003,Otis Pike @ Linus Dog Pond,2008-03-18T00:00:00,2008-03-18T00:00:00,2008-03-18T00:00:00,1,1A,SUFFOLK,RIVERHEAD,Prescribed Fire, 1 - Grass - Light,5,2.3,40.888,-72.818,Wildlife Management Area,Peconic River HWNRMA,0,0,0,0,0,0,0,"Byrnes,Timothy ",Supervisor,,"{'longitude': '-72.818', 'needs_recoding': False, 'latitude': '40.888'}"
NYS-2008-0004,Quadt Fire,2008-03-22T00:00:00,2008-03-22T00:00:00,2008-03-22T00:00:00,4,4B,SCHOHARIE,SCHOHARIE,Miscellaneous, 1 - Grass - Light,5,0.2,42.65,-74.32,Private Property,,0,0,0,0,0,0,0,"Henry,William ",911 Dispatch,,"{'longitude': '-74.32', 'needs_recoding': False, 'latitude': '42.65'}"
NYS-2008-0005,Prestons Pond,2008-03-22T00:00:00,2008-03-22T00:00:00,2008-03-22T00:00:00,1,1A,SUFFOLK,RIVERHEAD,Prescribed Fire, 1 - Grass - Light,5,5.8,40.9021,-72.82048,Wildlife Management Area,Peconic River HWNRMA,0,0,0,0,0,0,0,"Byrnes,Timothy ",Supervisor,,"{'longitude': '-72.82048', 'needs_recoding': False, 'latitude': '40.9021'}"
NYS-2008-0006,Wellhead Pond,2008-03-22T00:00:00,2008-03-22T00:00:00,2008-03-22T00:00:00,1,1A,SUFFOLK,RIVERHEAD,Prescribed Fire, 1 - Grass - Light,5,5.8,40.90167,-72.82158,Wildlife Management Area,Peconic River HWNRMA,0,0,0,0,0,0,0,"Byrnes,Timothy ",Supervisor,,"{'longitude': '-72.82158', 'needs_recoding': False, 'latitude': '40.90167'}"
NYS-2008-0007,Brown Fire,2008-03-24T00:00:00,2008-03-24T00:00:00,2008-03-24T00:00:00,4,4B,SCHOHARIE,SCHOHARIE,Debris Burning, 1 - Grass - Light,5,1,42.697,-74.257,Private Property,,0,0,0,0,0,0,0,"Henry,William ",911 Dispatch,,"{'longitude': '-74.257', 'needs_recoding': False, 'latitude': '42.697'}"
NYS-2008-0008,EASTPORT GRASS FIRE,2008-03-25T00:00:00,2008-03-25T00:00:00,2008-03-25T00:00:00,1,1A,SUFFOLK,BROOKHAVEN,Prescribed Fire, 3 - Grass - Heavy,5,14,40.86325,-72.7241,Wildlife Management Area,Eastport Conservation Area,0,0,0,0,0,0,0,"Byrnes,Timothy ",Ranger Patrol,,"{'longitude': '-72.7241', 'needs_recoding': False, 'latitude': '40.86325'}"
NYS-2008-0009,Center Hill Road Fire,2008-03-25T00:00:00,2008-03-25T00:00:00,2008-03-25T00:00:00,4,4A,COLUMBIA,COPAKE,Debris Burning, 9 - Timber - Medium Hardwood Litter,4,7,42.14286,-73.5576,Private Property,,0,0,0,0,1,0,0,"DiCintio,Chris A",911 Dispatch,,"{'longitude': '-73.5576', 'needs_recoding': False, 'latitude': '42.14286'}"
NYS-2008-0012,Wellhead & Big Field Take 2,2008-04-03T00:00:00,2008-04-03T00:00:00,2008-04-03T00:00:00,1,1A,SUFFOLK,BROOKHAVEN,Prescribed Fire, 3 - Grass - Heavy,5,20.4,40.90304,-72.8238,Wildlife Management Area,Peconic River HWNRMA,0,0,0,0,0,0,0,"Gallagher,Bryan ",Ranger Patrol,,"{'longitude': '-72.8238', 'needs_recoding': False, 'latitude': '40.90304'}"
